Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern
1999,Afghanistan,AFG,Ireland,IRL,5,0,0,-,0,-,0
2000,Afghanistan,AFG,Ireland,IRL,30,0,0,-,0,-,0
2001,Afghanistan,AFG,Ireland,IRL,41,0,0,-,0,-,0
2002,Afghanistan,AFG,Ireland,IRL,41,0,0,-,0,-,0
2003,Afghanistan,AFG,Ireland,IRL,38,20,0,-,0,-,0
2004,Afghanistan,AFG,Ireland,IRL,58,95,0,-,0,-,0
2005,Afghanistan,AFG,Ireland,IRL,77,0,0,-,0,-,0
2006,Afghanistan,AFG,Ireland,IRL,99,112,0,-,0,-,0
2007,Afghanistan,AFG,Ireland,IRL,106,118,0,-,0,-,0
2008,Afghanistan,AFG,Ireland,IRL,127,122,0,-,0,-,0
2009,Afghanistan,AFG,Ireland,IRL,149,55,0,-,0,-,0
2010,Afghanistan,AFG,Ireland,IRL,157,181,0,-,0,-,0
2011,Afghanistan,AFG,Ireland,IRL,170,209,0,-,0,-,0
2012,Afghanistan,AFG,Ireland,IRL,181,210,0,-,0,-,0
2013,Afghanistan,AFG,Ireland,IRL,129,173,0,-,0,-,0
2014,Afghanistan,AFG,Ireland,IRL,158,129,0,-,0,-,0
2015,Afghanistan,AFG,Ireland,IRL,182,162,0,-,0,-,0
2016,Afghanistan,AFG,Ireland,IRL,222,116,0,-,0,-,0
2017,Afghanistan,AFG,Ireland,IRL,230,180,0,-,0,-,0
2018,Afghanistan,AFG,Ireland,IRL,289,148,0,-,0,-,0
2019,Afghanistan,AFG,Ireland,IRL,366,127,0,-,0,-,0
2020,Afghanistan,AFG,Ireland,IRL,420,159,0,-,0,-,0
2021,Afghanistan,AFG,Ireland,IRL,549,170,0,-,0,-,0
2022,Afghanistan,AFG,Ireland,IRL,1324,746,0,-,0,0,0
1999,Albania,ALB,Ireland,IRL,5,0,0,-,0,-,0
2001,Albania,ALB,Ireland,IRL,14,0,0,-,0,-,0
2002,Albania,ALB,Ireland,IRL,45,0,0,-,0,-,0
2003,Albania,ALB,Ireland,IRL,70,139,0,-,0,-,0
2004,Albania,ALB,Ireland,IRL,114,66,0,-,0,-,0
2005,Albania,ALB,Ireland,IRL,141,0,0,-,0,-,0
2006,Albania,ALB,Ireland,IRL,153,45,0,-,0,-,0
2007,Albania,ALB,Ireland,IRL,170,95,0,-,0,-,0
2008,Albania,ALB,Ireland,IRL,175,101,0,-,0,-,0
2009,Albania,ALB,Ireland,IRL,175,49,0,-,0,-,0
2010,Albania,ALB,Ireland,IRL,180,79,0,-,0,-,0
2011,Albania,ALB,Ireland,IRL,168,72,0,-,0,-,0
2012,Albania,ALB,Ireland,IRL,139,91,0,-,0,-,0
